Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2024-10-04,494.19970703125,495.54018829045503,489.00647851242405,492.0747430240953,1935600
2024-10-07,487.8447265625,495.0238896406709,487.29860677593365,493.83231699349733,1990500
2024-10-08,493.5641784667969,494.03087417257507,488.07307212584794,489.0362513355201,1750100
2024-10-09,497.09393310546875,497.8893507847037,492.7588248268917,495.5328948081497,1707500
2024-10-10,495.1749267578125,497.85951447789535,493.0073878289023,497.1436264420892,1491000
2024-10-11,499.3907470703125,500.0469803269553,493.6338151295408,493.6735951174938,1919900
2024-10-14,503.765625,505.88346187934184,499.18194460527457,501.47874592261223,2127000
2024-10-15,504.3323669433594,506.9672222658995,501.12080798449523,502.7315485838126,2885900
2024-10-16,511.13330078125,512.4557199372824,503.10939465525945,503.45740129333336,2956700
2024-10-17,510.8250732421875,514.0863041587178,508.59784896834327,513.3405886541061,2227400
2024-10-18,513.3903198242188,515.0408100036467,509.6517899491046,511.6005541746365,2604600
2024-10-21,512.0679321289062,515.856164462746,511.00403739387997,514.0366016403005,2217500
2024-10-22,510.0892639160156,511.6104918500601,507.58364062879224,508.2299212720127,1855800
2024-10-23,510.79522705078125,511.77956182930484,508.97569452938274,509.7313322910835,1759700
2024-10-24,507.7030029296875,510.40749608466575,506.54962595993686,508.9756895267845,1911900
2024-10-25,504.46160888671875,511.78950170768576,502.7315586296576,509.57226036518597,1582200
2024-10-28,505.3067321777344,507.94158741206286,503.24858056042257,504.50136190503844,2186400
2024-10-29,503.38775634765625,508.4685800607592,502.81108308379333,504.64056801397413,2066300
2024-10-30,510.7554931640625,513.4997360776478,504.1037080796935,509.592193906864,3121000
2024-10-31,496.7359619140625,524.8842617825817,496.17916348339605,518.2722273177499,5523300
2024-11-01,505.1774597167969,507.63335047248347,495.6820284833681,497.5811207987017,3753700
2024-11-04,502.6917724609375,507.0865357887999,500.15635191929,506.23146325399017,2165100
2024-11-05,502.671875,505.247075414783,500.73300266612296,502.69174982203964,2132900
2024-11-06,518.1528930664062,520.0122052743238,512.9925400741791,517.8844161029025,3673700
2024-11-07,514.9215087890625,521.0363999231491,513.6389000266429,520.9965895920326,2382300
2024-11-08,521.76220703125,525.8189161590527,516.5621039339807,517.3674742099103,2215600
2024-11-11,527.0916137695312,530.9793113562067,525.5007782580407,525.8288493946516,2213400
2024-11-12,526.14697265625,527.8671308837519,524.287660333999,526.0773652656363,2577600
2024-11-13,518.898681640625,527.46943365298,513.4698509193247,526.9822425664178,2681500
2024-11-14,517.4271240234375,519.3758882500164,514.6928340074703,517.6458380952048,2480400
2024-11-15,518.9085693359375,520.400000158825,515.0407775038284,515.5677788574236,2408100
2024-11-18,518.6500854492188,520.4994452492534,514.0465304281834,515.6274739259422,2493400
2024-11-19,516.4924926757812,519.6642715286503,513.807904880615,515.8163846072878,2716000
2024-11-20,509.6119689941406,519.515091923684,508.0807884650766,518.5506624136414,2409400
2024-11-21,512.1573486328125,517.1486901491567,508.6574683650876,510.29803629235744,3077300
2024-11-22,517.8844604492188,518.7296410529468,513.2312032400527,513.9769187034411,3130400
2024-11-25,523.5916137695312,525.2322119194966,518.0435349034317,518.6599881107761,4503900
2024-11-26,525.4609375,527.618584654219,522.060491896345,524.8842945552009,2326800
2024-11-27,529.3386840820312,530.5715906392246,523.5718298090243,526.0276903404526,2086300
2024-11-29,529.8954467773438,532.7092966729052,527.002097596446,529.9650541668709,1760600
2024-12-02,528.324462890625,531.7647186507269,523.2237644017372,529.8855011681939,2355100
2024-12-03,523.1741333007812,531.7647909432652,522.9554192037785,531.6156235596824,2319400
2024-12-04,518.1629028320312,523.2735541655894,515.2098379670174,520.6486211047952,2630000
2024-12-05,521.772216796875,524.456744219861,519.1870331525179,521.6031442450973,2538600
2024-12-06,525.5504150390625,527.9665257559071,519.5150841948428,519.9426204267311,2122700
2024-12-09,519.8333129882812,528.5532323563908,518.8986804637262,525.9979066170598,2942000
2024-12-10,525.9879150390625,526.6341653485304,517.2480911524698,519.5250478255127,2003200
2024-12-11,531.3968505859375,532.8286267010495,524.2578751757129,526.1668897670356,2181100
2024-12-12,529.3684692382812,533.6837027778845,528.9309804033284,533.2263087774627,1860400
2024-12-13,525.9779663085938,531.6255107249551,525.8884537521616,531.118414506957,1608200
2024-12-16,527.2804565429688,531.9436660616976,525.9779427039963,528.960804382847,2923000
2024-12-17,527.9765014648438,528.7421220947607,521.8715629638618,526.37571349909,4055800
2024-12-18,516.9896240234375,534.0615192347915,516.7410522091747,527.2904254417324,3190300
2024-12-19,520.2907104492188,526.1967190130028,519.2168631255837,521.1656274802923,3050500
2024-12-20,525.0135498046875,529.0404012144143,516.4526900681805,519.8829933751628,7317100
2024-12-23,525.938232421875,526.3757212616393,518.1529458652317,522.8261083157864,2270300
2024-12-24,532.649658203125,532.6794552644207,524.8146696172977,526.2464457214712,955000
2024-12-26,533.087158203125,534.6282913751439,529.8755689691651,530.581534796694,1109600
2024-12-27,529.15966796875,534.489032876481,527.7676415931376,530.5615862398731,1541800
2024-12-30,522.5477294921875,525.5504968515855,518.351865805268,523.9894583555105,2101600
2024-12-31,523.5618286132812,526.1668562742433,522.5575888114456,524.6555202804726,1942600
2025-01-02,519.4157104492188,527.5290681253927,514.7027376646352,526.1668993775943,2818800
2025-01-03,518.381591796875,521.4639187176638,514.7226219590077,519.5449515864346,1627500
2025-01-06,509.0054626464844,518.3815840954359,508.09073537222696,517.9937975046772,2920800
2025-01-07,508.478515625,513.3803750408678,508.1603364088289,510.7454894395487,2211800
2025-01-08,513.449951171875,514.4939406287743,508.60774686095647,509.1148127161633,2456700
2025-01-10,502.52655029296875,511.57793908230883,501.22208624242165,509.9448899972015,2815500
2025-01-13,502.7655029296875,504.0002265621997,497.79670664598643,498.872106198826,2885500
2025-01-14,506.8580627441406,507.22651679398336,502.0684943637771,504.9163630804046,2704800
2025-01-15,520.1314086914062,521.5454213116817,511.5480251118695,513.3802368570532,3024800
2025-01-16,520.9180908203125,524.8811671846328,518.5083254871432,521.3960326760513,3275600
2025-01-17,522.471435546875,525.8868598951474,518.7971057815228,522.3519500891334,2374800
2025-01-21,525.8171997070312,527.729027987854,524.6720597233309,525.4188742928941,2706900
2025-01-22,524.9408569335938,528.0476002341733,523.4372607589324,525.7573813720163,2037600
2025-01-23,531.9509887695312,532.0804414851718,526.4345405814782,526.80296422571,2196500
2025-01-24,531.22412109375,533.7832129361533,529.889846452761,530.7262447222923,2472900
2025-01-27,545.3140258789062,545.6625150152405,529.4018563275245,531.3137452795305,3074600
2025-01-28,545.0352172851562,549.207423789456,540.3551671480298,544.2186927271108,2727800
2025-01-29,546.4691162109375,548.2714263206122,544.1788969607984,544.6767733532602,2549000
